id,text,label,language,source_id,synthetic,consent,comment
ds04-033,"इस वीकेंड 50% छूट, अभी खरीदें। रोकने के लिए STOP भेजें।",legitimate,hi,DS-04,true,"Team-authored, no real content","Marketing spam is legitimate for our purposes -- guide section 3"
ds04-034,"Dhyan rakhna, mujhe ye fake message aaya tha KYC ka. Kisi ko OTP mat dena.",legitimate,hinglish,DS-04,true,"Team-authored, no real content","Forwarded warning, protective intent -- guide B9, hard negative"
ds04-035,"आपकी केवाईसी अपडेट है। किसी कार्रवाई की आवश्यकता नहीं है।",legitimate,hi,DS-04,true,"Team-authored, no real content","KYC mention without request or link -- guide B2"
ds04-036,"Aapka electricity bill 1,240 rupaye ka due hai. Official app se payment karein.",legitimate,hinglish,DS-04,true,"Team-authored, no real content","Genuine bill reminder, contrast with ds04-025"
ds04-037,"Sir main bank manager bol raha hoon, aapka account update karne ke liye user id aur password chahiye.",phishing,hinglish,DS-04,true,"Team-authored, no real content","Credential request plus authority claim"
ds04-038,"तत्काल कार्रवाई करें! आपका खाता 24 घंटे में बंद हो जाएगा। सत्यापित करें।",phishing,hi,DS-04,true,"Team-authored, no real content","Deadline pressure plus verification demand"
ds04-039,"Aapke naam par SIM card issue hua hai illegal activity ke liye. Verify karne ke liye details bhejein.",phishing,hinglish,DS-04,true,"Team-authored, no real content","SIM fraud scare, TRAI impersonation variant"
ds04-040,"नौकरी के लिए आपका चयन हुआ है। सुरक्षा जमा राशि भेजकर पुष्टि करें।",fake_job,hi,DS-04,true,"Team-authored, no real content","Security deposit for a job offer"
ds04-041,"Ye number block kar dena, spam call aa rahe hain isse.",legitimate,hinglish,DS-04,true,"Team-authored, no real content","Talking about spam is not spam -- hard negative"
ds04-042,"आपका बीमा प्रीमियम देय है। कृपया आधिकारिक पोर्टल से भुगतान करें।",legitimate,hi,DS-04,true,"Team-authored, no real content","Genuine insurance reminder"
